source,cid,category description,sub_batch_name
tmall,50025689,粮油调味/速食/干货/烘焙>方便速食/速冻食品(父级类目),食品
tmall,50025684,粮油调味/速食/干货/烘焙>方便速食/速冻食品>包点/面点/油条油炸类,食品
tmall,50025696,粮油调味/速食/干货/烘焙>方便速食/速冻食品>包装即食肠类,食品
tmall,201381913,粮油调味/速食/干货/烘焙>方便速食/速冻食品>儿童速食(父级类目),食品
tmall,201396601,粮油调味/速食/干货/烘焙>方便速食/速冻食品>儿童速食>儿童面点/包点,食品
tmall,201230507,粮油调味/速食/干货/烘焙>方便速食/速冻食品>方便粉丝/米线/螺蛳粉,食品
tmall,50016848,粮油调味/速食/干货/烘焙>方便速食/速冻食品>方便米饭,食品
tmall,50016845,粮油调味/速食/干货/烘焙>方便速食/速冻食品>方便面/拉面/面皮,食品
tmall,50025687,粮油调味/速食/干货/烘焙>方便速食/速冻食品>海鲜丸类,食品
tmall,126778003,粮油调味/速食/干货/烘焙>方便速食/速冻食品>即食火锅,食品
tmall,50016854,粮油调味/速食/干货/烘焙>方便速食/速冻食品>煎饼/手抓饼/馅饼,食品
tmall,50017231,粮油调味/速食/干货/烘焙>方便速食/速冻食品>冷面,食品
tmall,50016850,粮油调味/速食/干货/烘焙>方便速食/速冻食品>面条/挂面（待煮面条）,食品
tmall,50016852,粮油调味/速食/干货/烘焙>方便速食/速冻食品>年糕/糍粑,食品
tmall,50008438,粮油调味/速食/干货/烘焙>方便速食/速冻食品>其它,食品
tmall,201335521,粮油调味/速食/干货/烘焙>方便速食/速冻食品>人造肉/植物肉速食,食品
tmall,50016849,粮油调味/速食/干货/烘焙>方便速食/速冻食品>肉制品/肉类罐头,食品
tmall,50025683,粮油调味/速食/干货/烘焙>方便速食/速冻食品>水饺/馄饨,食品
tmall,127220009,粮油调味/速食/干货/烘焙>方便速食/速冻食品>速食菜,食品
tmall,50016847,粮油调味/速食/干货/烘焙>方便速食/速冻食品>速食汤,食品
tmall,50016846,粮油调味/速食/干货/烘焙>方便速食/速冻食品>速食粥,食品
tmall,50016853,粮油调味/速食/干货/烘焙>方便速食/速冻食品>汤圆/元宵,食品
tmall,50016851,粮油调味/速食/干货/烘焙>方便速食/速冻食品>意大利面,食品
tmall,201235401,粮油调味/速食/干货/烘焙>方便速食/速冻食品>芋圆,食品
tmall,50016855,粮油调味/速食/干货/烘焙>方便速食/速冻食品>粽子,食品
tmall,123188001,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新(父级类目),食品
tmall,123194001,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>成品原料(父级类目),食品
tmall,123200004,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>成品原料>冰淇淋粉,食品
tmall,124574015,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>成品原料>蛋挞原料,食品
tmall,124556010,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>成品原料>果冻/布丁粉,食品
tmall,201204301,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>成品原料>糯米纸,食品
tmall,124578015,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>成品原料>其他烘焙半成品,食品
tmall,124562010,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>烘焙原料套装(父级类目),食品
tmall,124574016,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>烘焙原料套装>饼干制作套装,食品
tmall,124548019,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>烘焙原料套装>蛋糕制作套装,食品
tmall,124548018,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>烘焙原料套装>面包制作套装,食品
tmall,124540015,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>烘焙原料套装>甜品制作套装,食品
tmall,124550017,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>烘焙原料套装>中式糕点制作套装,食品
tmall,123192001,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>烘培辅料(父级类目),食品
tmall,123202002,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>烘培辅料>面包糠,食品
tmall,123190001,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>烘培原料(父级类目),食品
tmall,124304002,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>烘培原料>黄油,食品
tmall,124226015,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>烘培原料>酵母粉,食品
tmall,50012389,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>烘培原料>奶精炼乳,食品
tmall,50012390,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>烘培原料>奶油,食品
tmall,124562009,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>烘培原料>其它原料,食品
tmall,123234003,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>烘培原料>预拌粉,食品
tmall,124576009,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>烘培原料>芝士新,食品
tmall,123202001,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>其他,食品
tmall,124244005,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>食品添加剂(父级类目),食品
tmall,124174009,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>食品添加剂>吉利丁片,食品
tmall,124222015,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>食品添加剂>吉士粉,食品
tmall,124182009,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>食品添加剂>泡打粉,食品
tmall,124576010,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>食品添加剂>其它食品添加剂,食品
tmall,124170014,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>食品添加剂>琼脂,食品
tmall,124210012,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>食品添加剂>食用色素,食品
tmall,124236004,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>食品添加剂>塔塔粉,食品
tmall,124226014,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>食品添加剂>香草精,食品
tmall,124222014,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>食品添加剂>小苏打,食品
tmall,124198007,粮油调味/速食/干货/烘焙>烘焙原料/辅料/食品添加剂-新>食品添加剂>鱼胶粉,食品
tmall,201231603,粮油调味/速食/干货/烘焙>粮油米面/干货/调味品提货券(父级类目),食品
tmall,201227707,粮油调味/速食/干货/烘焙>粮油米面/干货/调味品提货券>方便速食提货券,食品
tmall,201222707,粮油调味/速食/干货/烘焙>粮油米面/干货/调味品提货券>烘焙原料提货券,食品
tmall,201219413,粮油调味/速食/干货/烘焙>粮油米面/干货/调味品提货券>冷链速食提货券,食品
tmall,201217430,粮油调味/速食/干货/烘焙>粮油米面/干货/调味品提货券>米面杂粮提货券,食品
tmall,201220214,粮油调味/速食/干货/烘焙>粮油米面/干货/调味品提货券>南北干货/肉类干货提货券,食品
tmall,201222926,粮油调味/速食/干货/烘焙>粮油米面/干货/调味品提货券>食用油提货券,食品
tmall,201223508,粮油调味/速食/干货/烘焙>粮油米面/干货/调味品提货券>调味品/果酱/沙拉提货券,食品
tmall,201340002,粮油调味/速食/干货/烘焙>粮油米面/干货/调味品提货券>粽子提货券,食品
tmall,50009837,粮油调味/速食/干货/烘焙>米/面粉/杂粮(父级类目),食品
tmall,50050580,粮油调味/速食/干货/烘焙>米/面粉/杂粮>豆类(父级类目),食品
tmall,50050584,粮油调味/速食/干货/烘焙>米/面粉/杂粮>豆类>黑豆,食品
tmall,50050583,粮油调味/速食/干货/烘焙>米/面粉/杂粮>豆类>红豆,食品
tmall,50050581,粮油调味/速食/干货/烘焙>米/面粉/杂粮>豆类>黄豆,食品
tmall,50050585,粮油调味/速食/干货/烘焙>米/面粉/杂粮>豆类>绿豆,食品
tmall,50009840,粮油调味/速食/干货/烘焙>米/面粉/杂粮>豆类>其它,食品
tmall,50050578,粮油调味/速食/干货/烘焙>米/面粉/杂粮>米类(父级类目),食品
tmall,50019864,粮油调味/速食/干货/烘焙>米/面粉/杂粮>米类>糙米,食品
tmall,50009838,粮油调味/速食/干货/烘焙>米/面粉/杂粮>米类>大米,食品
tmall,50009944,粮油调味/速食/干货/烘焙>米/面粉/杂粮>米类>黑米,食品
tmall,50009945,粮油调味/速食/干货/烘焙>米/面粉/杂粮>米类>糯米,食品
tmall,123136001,粮油调味/速食/干货/烘焙>米/面粉/杂粮>米类>芡实,食品
tmall,50009943,粮油调味/速食/干货/烘焙>米/面粉/杂粮>米类>泰国香米,食品
tmall,123140001,粮油调味/速食/干货/烘焙>米/面粉/杂粮>米类>西米,食品
tmall,50009842,粮油调味/速食/干货/烘焙>米/面粉/杂粮>米类>小米,食品
tmall,123148001,粮油调味/速食/干货/烘焙>米/面粉/杂粮>米类>亚麻籽,食品
tmall,123130002,粮油调味/速食/干货/烘焙>米/面粉/杂粮>米类>燕麦,食品
tmall,50009844,粮油调味/速食/干货/烘焙>米/面粉/杂粮>米类>薏米,食品
tmall,50009839,粮油调味/速食/干货/烘焙>米/面粉/杂粮>面粉/食用粉,食品
tmall,50009843,粮油调味/速食/干货/烘焙>米/面粉/杂粮>其它粮食,食品
tmall,50009841,粮油调味/速食/干货/烘焙>米/面粉/杂粮>玉米,食品
tmall,50050579,粮油调味/速食/干货/烘焙>米/面粉/杂粮>杂粮组合,食品
tmall,50025682,粮油调味/速食/干货/烘焙>南北干货/肉类干货(父级类目),食品
tmall,50016820,粮油调味/速食/干货/烘焙>南北干货/肉类干货>干货/土特产(父级类目),食品
tmall,50012194,粮油调味/速食/干货/烘焙>南北干货/肉类干货>干货/土特产>百合干,食品
tmall,201207302,粮油调味/速食/干货/烘焙>南北干货/肉类干货>干货/土特产>豆制品干货,食品
tmall,123120002,粮油调味/速食/干货/烘焙>南北干货/肉类干货>干货/土特产>干黄花菜,食品
tmall,201203503,粮油调味/速食/干货/烘焙>南北干货/肉类干货>干货/土特产>干货粉条粉丝,食品
tmall,50012188,粮油调味/速食/干货/烘焙>南北干货/肉类干货>干货/土特产>桂圆干/龙眼,食品
tmall,50012548,粮油调味/速食/干货/烘焙>南北干货/肉类干货>干货/土特产>黑木耳,食品
tmall,123158001,粮油调味/速食/干货/烘焙>南北干货/肉类干货>干货/土特产>黑蒜,食品
tmall,50050575,粮油调味/速食/干货/烘焙>南北干货/肉类干货>干货/土特产>猴头菇,食品
tmall,124710013,粮油调味/速食/干货/烘焙>南北干货/肉类干货>干货/土特产>姬松茸,食品
tmall,50012189,粮油调味/速食/干货/烘焙>南北干货/肉类干货>干货/土特产>荔枝干,食品
tmall,50009899,粮油调味/速食/干货/烘焙>南北干货/肉类干货>干货/土特产>莲子,食品
tmall,123160001,粮油调味/速食/干货/烘焙>南北干货/肉类干货>干货/土特产>梅干菜,食品
tmall,50012395,粮油调味/速食/干货/烘焙>南北干货/肉类干货>干货/土特产>其它干货,食品
tmall,50050576,粮油调味/速食/干货/烘焙>南北干货/肉类干货>干货/土特产>松茸,食品
tmall,123154002,粮油调味/速食/干货/烘焙>南北干货/肉类干货>干货/土特产>笋干,食品
tmall,50009778,粮油调味/速食/干货/烘焙>南北干货/肉类干货>干货/土特产>香菇类,食品
tmall,50012193,粮油调味/速食/干货/烘焙>南北干货/肉类干货>干货/土特产>银耳/白木耳,食品
tmall,50050577,粮油调味/速食/干货/烘焙>南北干货/肉类干货>干货/土特产>竹荪,食品
tmall,50050573,粮油调味/速食/干货/烘焙>南北干货/肉类干货>熏腊/香肠/火腿制品(父级类目),食品
tmall,50012383,粮油调味/速食/干货/烘焙>南北干货/肉类干货>熏腊/香肠/火腿制品>待加工香肠,食品
tmall,50016816,粮油调味/速食/干货/烘焙>南北干货/肉类干货>熏腊/香肠/火腿制品>火腿,食品
tmall,50012384,粮油调味/速食/干货/烘焙>南北干货/肉类干货>熏腊/香肠/火腿制品>腊/腌肉,食品
tmall,50025695,粮油调味/速食/干货/烘焙>南北干货/肉类干货>熏腊/香肠/火腿制品>培根,食品
tmall,50050574,粮油调味/速食/干货/烘焙>南北干货/肉类干货>熏腊/香肠/火腿制品>香肠/腊肠,食品
tmall,50016443,粮油调味/速食/干货/烘焙>其他食品,食品
tmall,50050378,粮油调味/速食/干货/烘焙>食用油/调味油(父级类目),食品
tmall,50050391,粮油调味/速食/干货/烘焙>食用油/调味油>菜籽油,食品
tmall,50050379,粮油调味/速食/干货/烘焙>食用油/调味油>大豆油,食品
tmall,50050396,粮油调味/速食/干货/烘焙>食用油/调味油>橄榄油,食品
tmall,50013185,粮油调味/速食/干货/烘焙>食用油/调味油>蚝油,食品
tmall,50050385,粮油调味/速食/干货/烘焙>食用油/调味油>核桃油,食品
tmall,50050382,粮油调味/速食/干货/烘焙>食用油/调味油>红花籽油,食品
tmall,50050394,粮油调味/速食/干货/烘焙>食用油/调味油>花椒油,食品
tmall,50050393,粮油调味/速食/干货/烘焙>食用油/调味油>花生油,食品
tmall,50776032,粮油调味/速食/干货/烘焙>食用油/调味油>葵花籽油,食品
tmall,50050390,粮油调味/速食/干货/烘焙>食用油/调味油>米糠油,食品
tmall,50050388,粮油调味/速食/干货/烘焙>食用油/调味油>葡萄籽油,食品
tmall,50009836,粮油调味/速食/干货/烘焙>食用油/调味油>其它,食品
tmall,50050397,粮油调味/速食/干货/烘焙>食用油/调味油>山茶油,食品
tmall,50050381,粮油调味/速食/干货/烘焙>食用油/调味油>调和油,食品
tmall,50050383,粮油调味/速食/干货/烘焙>食用油/调味油>香油,食品
tmall,50025676,粮油调味/速食/干货/烘焙>食用油/调味油>亚麻籽油/火麻油,食品
tmall,50050395,粮油调味/速食/干货/烘焙>食用油/调味油>椰子油,食品
tmall,50017141,粮油调味/速食/干货/烘焙>食用油/调味油>鱼露,食品
tmall,50050380,粮油调味/速食/干货/烘焙>食用油/调味油>玉米油,食品
tmall,50009821,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉(父级类目),食品
tmall,50010891,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>豆腐乳,食品
tmall,50017138,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>果酱,食品
tmall,50009835,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>其它调味品,食品
tmall,124326002,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>日常调味品(父级类目),食品
tmall,50009828,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>日常调味品>醋制品,食品
tmall,50009830,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>日常调味品>鸡精/味精,食品
tmall,50009856,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>日常调味品>酱油,食品
tmall,50009878,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>日常调味品>料酒,食品
tmall,126462003,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>日常调味品>食盐,食品
tmall,50009879,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>食糖,食品
tmall,201196801,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>食用糖(父级类目),食品
tmall,201234702,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>食用糖>白糖/黄糖/木糖醇/代糖,食品
tmall,201241601,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>食用糖>冰糖,食品
tmall,201236902,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>食用糖>果糖/糖浆/麦芽糖/糖膏,食品
tmall,201234402,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>食用糖>红糖/黑糖/风味红糖,食品
tmall,50009824,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>寿司料理/料理调料,食品
tmall,50025222,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>调味酱(父级类目),食品
tmall,50050640,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>调味酱>豆瓣酱/豆酱/黄豆酱,食品
tmall,50050641,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>调味酱>番茄酱,食品
tmall,123150002,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>调味酱>海鲜酱,食品
tmall,50009823,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>调味酱>酱类调料,食品
tmall,50050642,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>调味酱>辣椒酱,食品
tmall,50009833,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>调味酱>沙拉/千岛/蛋黄酱,食品
tmall,50017140,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>调味酱>虾酱/蟹酱,食品
tmall,50009834,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>调味酱>鱼籽酱,食品
tmall,50025674,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>调味料/复合调味品(父级类目),食品
tmall,50009880,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>调味料/复合调味品>花椒/八角/桂皮,食品
tmall,50009822,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>调味料/复合调味品>火锅调料,食品
tmall,50009829,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>调味料/复合调味品>咖喱,食品
tmall,50009827,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>调味料/复合调味品>辣椒类调料,食品
tmall,50009825,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>调味料/复合调味品>其它调料,食品
tmall,50009826,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>调味料/复合调味品>烧烤调料/腌料,食品
tmall,123194003,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>调味料/复合调味品>汤类调料/冬阴功汤料,食品
tmall,201169511,粮油调味/速食/干货/烘焙>调味品/果酱/沙拉>调味料/复合调味品>调味汁,食品
tmall,50002766,零食/坚果/特产(父级类目),食品
tmall,50010550,零食/坚果/特产>饼干/膨化(父级类目),食品
tmall,50010511,零食/坚果/特产>饼干/膨化>饼干,食品
tmall,124294001,零食/坚果/特产>饼干/膨化>饼干（新）(父级类目),食品
tmall,124306001,零食/坚果/特产>饼干/膨化>饼干（新）>薄脆饼干,食品
tmall,124300001,零食/坚果/特产>饼干/膨化>饼干（新）>蛋卷饼干,食品
tmall,124292002,零食/坚果/特产>饼干/膨化>饼干（新）>蛋圆饼干,食品
tmall,124606002,零食/坚果/特产>饼干/膨化>饼干（新）>发酵饼干,食品
tmall,124304001,零食/坚果/特产>饼干/膨化>饼干（新）>夹心饼干,食品
tmall,124314001,零食/坚果/特产>饼干/膨化>饼干（新）>其他/other,食品
tmall,124302001,零食/坚果/特产>饼干/膨化>饼干（新）>曲奇饼干,食品
tmall,124606001,零食/坚果/特产>饼干/膨化>饼干（新）>韧性饼干,食品
tmall,124310001,零食/坚果/特产>饼干/膨化>饼干（新）>苏打饼干,食品
tmall,124604001,零食/坚果/特产>饼干/膨化>饼干（新）>酥性饼干,食品
tmall,124308001,零食/坚果/特产>饼干/膨化>饼干（新）>威化饼干,食品
tmall,124312001,零食/坚果/特产>饼干/膨化>饼干（新）>压缩饼干,食品
tmall,124296001,零食/坚果/特产>饼干/膨化>饼干（新）>燕麦巧克力饼干,食品
tmall,124298001,零食/坚果/特产>饼干/膨化>饼干（新）>营养（消化）饼干,食品
tmall,50010535,零食/坚果/特产>饼干/膨化>膨化食品,食品
tmall,201160902,零食/坚果/特产>饼干/膨化>喜饼/诞生礼饼,食品
tmall,50050691,零食/坚果/特产>饼干/膨化>喜蛋,食品
tmall,123248003,零食/坚果/特产>豆干制品/蔬菜干(父级类目),食品
tmall,123202003,零食/坚果/特产>豆干制品/蔬菜干>臭豆腐,食品
tmall,123256001,零食/坚果/特产>豆干制品/蔬菜干>豆腐干,食品
tmall,126492001,零食/坚果/特产>豆干制品/蔬菜干>面筋制品,食品
tmall,123210006,零食/坚果/特产>豆干制品/蔬菜干>千张,食品
tmall,124216008,零食/坚果/特产>豆干制品/蔬菜干>蔬菜干,食品
tmall,123256002,零食/坚果/特产>豆干制品/蔬菜干>素鸡,食品
tmall,123222004,零食/坚果/特产>豆干制品/蔬菜干>素肉,食品
tmall,50552001,零食/坚果/特产>糕点/点心(父级类目),食品
tmall,50010513,零食/坚果/特产>糕点/点心>传统糕点,食品
tmall,127658020,零食/坚果/特产>糕点/点心>糯米制品,食品
tmall,50012598,零食/坚果/特产>糕点/点心>西式糕点,食品
tmall,50008062,零食/坚果/特产>糕点/点心>月饼,食品
tmall,201223408,零食/坚果/特产>零食提货券(父级类目),食品
tmall,201221107,零食/坚果/特产>零食提货券>月饼提货券,食品
tmall,50013061,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干(父级类目),食品
tmall,50013062,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>芭蕉干,食品
tmall,50013102,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>槟榔,食品
tmall,50013068,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>菠萝/凤梨干,食品
tmall,50013063,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>菠萝蜜,食品
tmall,50013064,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>草莓干,食品
tmall,50013065,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>车厘子,食品
tmall,50013066,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>陈皮,食品
tmall,50013069,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>佛手果,食品
tmall,50013103,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>橄榄,食品
tmall,50013070,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>哈密瓜干,食品
tmall,50013072,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>海棠果,食品
tmall,50013073,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>黄皮,食品
tmall,50013074,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>加应子/李子,食品
tmall,50013075,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>金桔类制品,食品
tmall,50013076,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>蓝莓,食品
tmall,50013077,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>李子,食品
tmall,50013078,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>榴莲干,食品
tmall,50013079,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>罗汉果,食品
tmall,123250002,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>蔓越莓干,食品
tmall,50013080,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>芒果干,食品
tmall,50013081,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>玫瑰花脯,食品
tmall,50013082,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>梅类制品,食品
tmall,50013100,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>猕猴桃干,食品
tmall,50013083,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>木瓜,食品
tmall,50013071,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>南瓜干,食品
tmall,50013084,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>苹果干,食品
tmall,50013085,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>葡萄干,食品
tmall,50013086,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>桑椹干,食品
tmall,50013087,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>山楂类制品,食品
tmall,50013088,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>圣女果干,食品
tmall,50013089,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>柿饼,食品
tmall,50013090,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>蔬果干/混合冻干/混合果干,食品
tmall,50013067,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>薯类制品,食品
tmall,50013091,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>酸角,食品
tmall,50013092,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>笋类制品,食品
tmall,50013093,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>桃干,食品
tmall,50013094,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>无花果干,食品
tmall,50013152,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>香蕉干/片,食品
tmall,50013095,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>杏仁/杏干,食品
tmall,50013096,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>椰子片,食品
tmall,50013097,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>樱桃,食品
tmall,50013101,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>柚脯/柚干,食品
tmall,50013098,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>芋头条,食品
tmall,50013099,零食/坚果/特产>蜜饯/枣类/梅/果干/冻干>枣类制品,食品
tmall,50008613,零食/坚果/特产>牛肉干/猪肉脯/卤味零食(父级类目),食品
tmall,50009849,零食/坚果/特产>牛肉干/猪肉脯/卤味零食>鹅肉类,食品
tmall,50008617,零食/坚果/特产>牛肉干/猪肉脯/卤味零食>鸡肉零食,食品
tmall,124224009,零食/坚果/特产>牛肉干/猪肉脯/卤味零食>卤味素食,食品
tmall,50009854,零食/坚果/特产>牛肉干/猪肉脯/卤味零食>骆驼肉,食品
tmall,50009846,零食/坚果/特产>牛肉干/猪肉脯/卤味零食>驴肉,食品
tmall,50008616,零食/坚果/特产>牛肉干/猪肉脯/卤味零食>牛肉类,食品
tmall,201316502,零食/坚果/特产>牛肉干/猪肉脯/卤味零食>人造肉零食,食品
tmall,50008628,零食/坚果/特产>牛肉干/猪肉脯/卤味零食>兔肉干/兔丁,食品
tmall,50008618,零食/坚果/特产>牛肉干/猪肉脯/卤味零食>鸭肉零食,食品
tmall,50008630,零食/坚果/特产>牛肉干/猪肉脯/卤味零食>羊肉类,食品
tmall,50009866,零食/坚果/特产>牛肉干/猪肉脯/卤味零食>猪肉类,食品
tmall,50008059,零食/坚果/特产>其它,食品
tmall,124300002,零食/坚果/特产>巧克力(父级类目),食品
tmall,50008055,零食/坚果/特产>巧克力/DIY巧克力,食品
tmall,124468007,零食/坚果/特产>巧克力>白巧克力,食品
tmall,124456021,零食/坚果/特产>巧克力>饼干巧克力,食品
tmall,124512008,零食/坚果/特产>巧克力>果仁巧克力,食品
tmall,124320001,零食/坚果/特产>巧克力>黑巧克力,食品
tmall,126474004,零食/坚果/特产>巧克力>混合巧克力,食品
tmall,124478011,零食/坚果/特产>巧克力>夹心巧克力,食品
tmall,124312003,零食/坚果/特产>巧克力>牛奶巧克力,食品
tmall,124466010,零食/坚果/特产>巧克力>巧克力酱,食品
tmall,124302002,零食/坚果/特产>巧克力>巧克力制品,食品
tmall,124492008,零食/坚果/特产>巧克力>松露巧克力,食品
tmall,50012981,零食/坚果/特产>山核桃/坚果/炒货(父级类目),食品
tmall,50012999,零食/坚果/特产>山核桃/坚果/炒货>白果/银杏果,食品
tmall,50012990,零食/坚果/特产>山核桃/坚果/炒货>鲍鱼果,食品
tmall,50016429,零食/坚果/特产>山核桃/坚果/炒货>豆类制品,食品
tmall,50012991,零食/坚果/特产>山核桃/坚果/炒货>瓜子,食品
tmall,50012994,零食/坚果/特产>山核桃/坚果/炒货>核桃仁,食品
tmall,50012996,零食/坚果/特产>山核桃/坚果/炒货>花生,食品
tmall,126472004,零食/坚果/特产>山核桃/坚果/炒货>混合坚果,食品
tmall,50012993,零食/坚果/特产>山核桃/坚果/炒货>即食板栗,食品
tmall,50012985,零食/坚果/特产>山核桃/坚果/炒货>坚果制品,食品
